unidade_origem,unidade_responsavel,dia_semana,mes_fato,ano_fato,data_fato,consolidado,especificacao_crime,causa_presumivel,meio_empregado_sisp,bairros,local_ocorrencia,vit_fx_etaria,vit_sexo,vit_cor_pele,vit_grau_inst,grau_de_relacionamento,relato,aut_sexo,turno,periodo,consolidado_stratified
Nao informado,Nao informado,SEX,JUNHO,2021,2021-06-04,AMEACA,Nao informado,ÓDIO OU VINGANÇA,OUTROS MEIOS,CURIO-UTINGA,VIA PUBLICA,IDOSO (65 ANOS OU MAIS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,NAO INFORMADO,"<P>A&NBSP;COMUNICANTE ACIMA QUALIFICADA&NBSP;COMPARECEU NESSA CENTRAL DE POLICIA DE SAO BRAS PARA INFORMAR QUE NA HORA, DATA E LOCAL ACIMA CITADOS FOI VITIMA DE AMEACA POR PARTE DA NACIONAL JUCELENA GOMES OLIVEIRA, ESTA RESIDIA ATE NOV/20 EM CONJUNTO COM A RELATORA, POREM ESSA MUDOU-SE PARA CAMPINAS/SP ONDE ESTA ATE O PRESENTE MOMENTO, TENDO EXPECTATIVA&NBSP;DE RETORNO PARA BELEM/PA NOS PROXIMOS DIAS AO REGISTRO DESTE B.O.P. A ACUSADA REALIZA CONSTANTES OFENSAS E AMEACAS A INTEGRIDADE FISICA DA MESMA E DE SEUS FAMILIARES, AO REIVINDICAR POSSE DO IMOVEL ONDE RESIDIU ANTERIORMENTE. REGISTRA-SE PARA OS DEVIDOS FINS DE DIREITO. ////////////////////</P>",Nao informado,TARDE,1 SEMESTRE DE 2021,AMEACA
CREMACAO - 4ª SECCIONAL - 1ª RISP- 3ª AISP,CREMACAO - 4ª SECCIONAL - 1ª RISP- 3ª AISP,DOM,JUNHO,2020,2020-06-21,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,CONDOR,RESIDENCIA PARTICULAR,ADULTO II (25 A 29 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<p>//A comunicante acima qualificada compareceu a esta Seccional Urbana para informar que no dia 21/06/2020, por volta das 12:05 estava fazendo seu alimento no fogo a lenha pos avia terminado seu&nbsp;gás, quando sua vizinha a Sra de suposto Nominal RAIMUNDA residente na PASSAGEM; CABO LEAO E/ RUA TAMBES E SANTA ANA N° 25 ALTOS ela por sua vez&nbsp;se sentiu incomodada com a fumaça e começou e começou a&nbsp;agredir verbalmente a relatora, que informa que não ser a primeira vez que acontece, e por isso veio ate esta Seccional para se fazer um B.O.P, Regista-se para fins de direito///.</p>",Nao informado,TARDE,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,QUA,MAIO,2023,2023-05-10,ESTUPRO DE VULNERAVEL,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,VILA,RESIDENCIA PARTICULAR,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO MEDIO COMPLETO,PADRASTO,"<P>A RELATORA ATUALMENTE COM 21 ANOS DE IDADE, VEM A ESTA SECCIONAL COMUNICAR QUE QUANDO TINHA 14 ANOS DE IDADE, FOI ABUSADA SEXUALMENTE POR SEU PADRASTO DE PRE NOME MANOEL VULGO “AGUIA”; QUE RELATA QUE EM 2015 QUANDO TINHA A IDADE DE 14 ANOS, A RELATORA MORAVA COM SUA AVO MATERNA E UM PRIMO SEU O QUAL ERA PORTADOR DE NECESSIDADES ESPECIUAIS, EM UMA OUTRA CASA LOCALIZADA NO BAIRRO DO MARACAJA E SUA GENITORA MORAVA NO BAIRRO DO PANTANAL JUNTAMENTE COM SEU ABUSADOR O NACIONAL MANOEL VULGO “AGUIA”; QUE SUA MAE BIOLOGICA NA EPOCA, IA PARA CASA DA AVO DA RELATORA CUIDAR DO TAL PRIMO ESPECIAL, QUE ERA UMA ESPECIE DE EMPREGO DA GENITORA DA RELATORA, POIS A SUA AVO PAGA UMA CERTA QUANTIA EM DINHEIRO PARA SUA MAE; QUE MANOEL VULGO AGUIA FICAVA SOZINHO NA CASA ONDE MORAVAM NO BAIRRO DO PANTANAL; QUE EM DETERMINADO DIA DO ANO DE 2015, A MAE BIOLOGICA DA RELATORA PEDIU PARA QUE ELA (A VITIMA) FOSSE ATE A CASA ONDE ESTAVA MANOEL VULGO AGUIA PARA LEVAR UM PRATO DE COMIDA PARA ELE, O QUAL ESTAVA SOZINHO; QUE A RELATORA ENTAO FOI, CHEGANDO NO LOCAL ENCONTROU COM MANOEL E ESTE LHE DEU UM DINHEIRO E PEDIU PARA QUE A RELATORA FOSSE COMPRAR UM SUCO PARA ELE, QUE A RELATORA ENTAO FOI COMPRAR; QUE AO RETORNAR PARA A CASA ONDE ESTAVA MANOEL PARA LHE ENTREGAR O SUCO, ESTE JA ESTAVA SOMENTE DE CUECAS; QUE, MANDOU QUE A RELATORA ENTRASSE, E ASSIM QUE ELA ENTROU MANOEL A EMPURROU NO CHAO E MANDOU QUE FICASSE CALADA, TIROU A ROUPA DA RELATORA E PRATICOU SEXO COM A MESMA; QUE A RELATORA AINDA TENTOU GRITAR MAIS MANOEL AMEACOU A RELATORA DE MORTE, BEM COMO A RUA ESTAVA DESERTA; QUE APOS O ATO DE VIOLENCIA A VITIMA RETORNOU PARA CASA ONDE MORAVA COM A VO MATERNA E DESDE ENTAO A VITIMA NAO CONTOU O FATO PARA NINGUEM, POIS MANOEL VULGO AGUIA HAVIA LHE AMEACADO DE MORTE, BEM COMO HAVIA DITO QUE SE CONTASSE IRIA MATAR SUA MAE, AVO E TODA SUA FAMILIA; QUE A VITIMA ENTAO GUARDOU SEGREDO ATE NOS DIAS DE HOJE; QUE COMO DESDE DO FATO PASSOU SETE ANOS DE SUA VIDA COM ALGUNS TRAUMAS; QUE, SOMENTE NO DIA 08/05/2023 TEVE CORAGEM DE CONFIDENCIAR A VIOLENCIA SEXUAL SOFRIDA PARA UMA CONHECIDA SUA; QUE ESTA TOMOU A LIBERDADE DE FAZER A DENUNCIA E DE LHE INCENTIVAR A FORMALIZAR TAL DENUNCIA; QUE ATUALMENTE O ABUSADOR AINDA CONVIVE MARITALMENTE COM SUA MAE BIOLOGICA, POREM OS DOIS SAO USUARIOS DE DROGAS E CONVIVEM NAS RUAS; QUE SUPOE QUE O UNICO LUGAR ONDE PODERIAM ENCONTRA-LOS QUANDO NAO ESTAO NAS RUAS, SERIA EM UMA CASA QUE FICA EM UM SITIO NA LOCALIDADE DENOMINADA BAIA SANTO ANTONIO, LOCAL ONDE O UNICO MEIO DE TRANSPORTE PARA SE CHEGAR SERIA DE BARCO; QUE ATUALMENTE COM 21 ANOS DE IDADE A RELATORA, AINDA RESIDE COM SUA AVO MATERNA, JA TEM OUTRO RELACIONAMENTO, POREM AINDA CONVIVE COM O TRAUMA POR CONTA DO ABUSO SEXUAL QUANDO TINHA 14 ANOS DE IDADE, OU SEJA, A SETE ANOS TRAS. REGISTRA-SE PARA OS FINS LEGAIS.///////////</P>",M,TARDE,1 SEMESTRE DE 2023,ESTUPRO DE VULNERAVEL
Nao informado,Nao informado,SEG,JANEIRO,2022,2022-01-10,VIOLENCIA PSICOLOGICA,VIOLENCIA DOMESTICA,OUTRAS,OUTROS MEIOS,COQUEIRO,RESIDENCIA PARTICULAR,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO SUPERIOR INCOMPLETO,PAI,"<P>RELATA QUE HA APROXIMADAMENTE DOIS MESES, AO ASSUMIR SUA HOMOSSEXUALIDADE, PASSOU A SOFRER VIOLENCIA PSICOLOGICA POR PARTE DO PAI BIOLOGICO, <U>SR. FRANCISCO JOSE MARTINS CARVALHO,</U> BRASILEIRO, NATURAL DE BREJO-MA, FILHO DE JOAO BOAVENTURA DE CARVALHO E DE MARIA DE JESUS MARTINS CARVALHO , NASCIDO AOS 19 / 8 / 1975 , CPF 696.740.002 – 91, PROFISSAO MOTOTAXISTA, ENDERECO ROD. MAIO COVAS, RESIDENCIAL RUA MONTE SINAI, PARQUE DO MILENIO, QD 2, Nº 22, BAIRRO COQUEIRO, ANANINDEUA-PA, CEP 66.650-230, TEL 98325-9100, O QUAL NAO ACEITA A ORIENTACAO SEXUAL DA DECLARANTE E&NBSP;PASSOU A TER COMPORTAMENTO ABUSIVO, MANDA A DECLARANTE SAIR DA CASA, DIZ QUE SE A DECLARANTE FICAR NA MESMA CASA QUE ELE VAI ACONTECER BESTEIRA. QUE HOJE POR VOLTA DAS16H &NBSP;A DECLARANTE TOMAVA BANHO, QUANDO FRANCISCO JOSE MARTINS CARVALHO CHEGOU E QUERIA TOMAR BANHO, NO UNICO BANHEIRO DA CASA, NAO ESPEROU A DECLARANTE SAIR, ADENTROU AO BANHEIRO, ENQUANTO A DECLARANTE TOMAVA BANHO E TIROU A DECLARANTE DO BANHEIRO, GRITANDO, CHAMANDO -A DE<B> “LIXO, VAGABUNDA, QUE NAO VALIA NADA, QUE ERA PARA ESTAR MORTA”</B>. QUE ESTAVA NA CASA ALEM DAS PARTES, SEU IRMAO JOAO ARIEL FELIX NABATE, 25 ANOS DE IDADE. <U>QUE A CASA ONDE RESIDEM PERTENCE A FRANCISCO JOSE MARTINS CARVALHO E A&NBSP;MAE DA DECLARANTE, SRA. EUNICE FELIX DE ARAUJO, A QUAL ESTA RESIDINDO EM ITAJAI-SC</U>. QUE A DECLARANTE TRABALHA HA POUCO TEMPO E NAO TEM CONDICOES DE ARCAR COM DESPESAS DE ALUGUEL, NAO TENDO PARA ONDE IR. QUE APRESENTA TESTEMUNHAS OU OUTROS MEIOS DE PROVAS NESTE MOMENTO. QUE REPRESENTA CRIMINALMENTE CONTRA FRANCISCO JOSE MARTINS CARVALHO PELOS FATOS NARRADOS. QUE OFERECIDO ABRIGO DO ESTADO NAO O ACEITA. QUE CIENTE DAS MEDIDAS PROTETIVAS IRA REQUERE-LAS. REGISTRA-SE////</P><P><BR><BR></P>",M,TARDE,1 SEMESTRE DE 2022,VIOLENCIA PSICOLOGICA
Nao informado,Nao informado,SAB,AGOSTO,2023,2023-08-12,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,VAL-DE-CAES,RESIDENCIA PARTICULAR,IDOSO (65 ANOS OU MAIS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<P><FONT SIZE=""3"">A IDOSA 78 ANOS, E DEFICIENTE FISICA, ANDA DE CADEIRAS DE RODA,A SITUACAO E RECORRENTE A UM TEMPO, NO DIA CITADO DURANTE A HORA DO ALMOCO FOI SOLICITADO UM ASPIRADOR DE PO PARA SUA FILHA DANIELE ALMEIDA FERREIRA E A MESMA SE IRRITOU COM O PEDIDO E DEPOIS TEVE DESAVENCAS ENTRE A FILHA A IRMA E MAE, A DANIELE JOGOU A MESA DE JANTAR NO CHAO, E FICOU BATENDO E QUEBRANDO VARIAS PARTES DA MOBILIA DA CASA FICOU XINGANDO SUA MAE E SUA IRMA POR NO MINIMO TRES HORA E DEPOIS SAIU DE CASA, A RELATORA SE SENTE MUITO AMEACA POR SUA FILHA E TEME POR SUA INTEGRIDADE FISICA E MENTAL, A MESMA JA ESTA ESGOTADA E VAI NA DEAM PEGAR UMA MEDIDA PROTETIVA CONTRA SUA FILHA DANIELE. REGISTRA-SE//////</FONT><BR TYPE=""_MOZ""></P>",Nao informado,MANHA,2 SEMESTRE DE 2023,AMEACA
GUAMA - 11ª SECCIONAL - 1ª RISP - 5ª AISP,GUAMA - 11ª SECCIONAL - 1ª RISP - 5ª AISP,SAB,SETEMBRO,2020,2020-09-05,LESAO CORPORAL,Nao informado,OUTRAS,OUTROS MEIOS,GUAMA,VIA PUBLICA,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<p>A relatora comunica que na data 05/09/2020, por volta de 18:00 horas, foi vitima de lesão corporal pelas seguintes pessoas: LENINHA, que reside na passagem são joão II nº46, JEOVÁ(conhecido como Geovana) que reside passagem São joão II nº54 fundos, e JOSY que reside na passagem São João nº57 A, entre Francisco Monteiro e Boa esperança, bairro Guamá. Elas lhe agrediram fisicamente com uma pernamanca, a relatora foi encaminhada para exame de lesão Corporal. Registra-se para fins de Direito.</p>",F,NOITE,2 SEMESTRE DE 2020,LESAO CORPORAL
DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,DELEGACIA ESPECIALIZADA NO ATENDIMENTO A MULHER - DEAM,SEX,NOVEMBRO,2020,2020-11-13,AMEACA,Nao informado,OUTRAS,OUTROS MEIOS,TERRA FIRME,RESIDENCIA PARTICULAR,ADULTO III (30 A 34 ANOS),F,PREJUDICADO,ENSINO SUPERIOR COMPLETO,NAO INFORMADO,"A RELATORA ACIMA QUALIFICADA COMUNICA, ATRAVÉS DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS FOI VÍTIMA DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER (AMEAÇA), CONFORME O SEGUINTE RELATO:NA DATA MENCIONADA, A COMUNICANTE VEM RECEBENDO AMEAÇAS ATRAVÉS DO WHATSAPP DE SUA TIA QUE COABITA A MESMA RESIDÊNCIA, A ÚLTIMA  TENDO O SEGUINTE TEXTUAL: ""DEVE SABER DO EXAME DO CABELO E DA UNHA E OUTROS EXAMES COMPLEMENTARES QUE EU FIZ, QUALQUER COISA QUE ACONTEÇA COMIGO JÁ TEM UMA PESSOA SÓ ESPERANDO O SINAL PARA AGIR, QUEM RI POR ÚLTIMO RI MELHOR KKK"". A COMUNICANTE TEM SOFRIDO JUNTAMENTE COM SUA MÃE QUE JÁ FOI AGREDIDA FISICAMENTE PELA DENUNCIADA AMEAÇAS VERBAIS, ONDE COABITAM NA MESMA RESIDÊNCIA E A COMUNICANTE TEME POR SUA VIDA E DE SUA MÃE VISTO QUE A DENUNCIADA DIARIAMENTE VEM FAZENDO AMEAÇAS VERBAIS, DEIXANDO A CONVIVÊNCIA INSUPORTÁVEL MEDIANTE A VIOLÊNCIA PSICOLÓGICA. REQUER MEDIDA PROTETIVA EM RELAÇÃO Á DENUNCIADA=====================DADOS DO DENUNCIADO=====================NOME: MARIA MARLENE FREITAS SILVAENDEREÇO: RUA PERIMETRAL, 04, PASSAGEM SÃO JORGEBAIRRO: TERRA FIRMACIDADE: BELEM/PA",Nao informado,NOITE,2 SEMESTRE DE 2020,AMEACA
DEL.VIRTUAL - 277,CABANAGEM- UNID.POL.292-1º RISP- 10ª AISP,QUI,ABRIL,2020,2020-04-09,AMEACA,Nao informado,IMPERICIA / IMPRUDENCIA / NEGLIGENCIA,SEM INSTRUMENTO,CABANAGEM,VIA PUBLICA,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,NAO INFORMADO,NAO INFORMADO,"O RELATOR ACIMA QUALIFICADO COMUNICA, ATRAVÉS DA DELEGACIA VIRTUAL, QUE NO DIA E HORA ACIMA MENCIONADOS FOI VÍTIMA DE AMEAÇA, CONFORME O SEGUINTE RELATO: NO DIA E HORA DESTE BOLETIM, A COMUNICANTE QUE SE ENCONTRAVA EM FRENTE À SUA RESIDÊNCIA FOI INDAGADA PELO SR. FREDERICO, SEU VIZINHO, MORADOR DA RESIDÊNCIA Nº 23 AO LADO DA SUA CASA, DIZENDO QUE A OBRA QUE ESTÁ OCORRENDO NA CASA DA COMUNICANTE ESTAVA DESTRUINDO O TELHADO DESTE, A MESMA RESPONDEU QUE ESTÁ TUDO DEVIDAMENTE LEGALIZADO E QUE O MESMO NÃO TEM O QUE RECLAMAR, POIS SUA RECLAMAÇÃO É IMPROCEDENTE. ASSIM, NÃO SATISFEITO COM A RESPOSTA, O SR. FREDERICO PROFERIU A SEGUINTE AMEAÇA: ""VOU QUEBRAR TEU TELHADO E AINDA MATAR TEUS GATOS"". INFORMO AINDA QUE O MESMO TENTOU DISCUTIR EM MEIO À RUA E FOI IGNORADO, O QUE FEZ COM QUE ELE DISSESSE PALAVRAS DESRESPEITOSAS E OFENSIVAS CITANDO ALGUNS PALAVRÕES. RESSALTO QUE ESTE NÃO É O PRIMEIRO EPISÓDIO DE INCÔMODO E OFENSAS, UMA VEZ QUE SÃO COMUNS E INICIAM POR MOTIVOS BANAIS E DESNECESSÁRIOS.",Nao informado,MANHA,1 SEMESTRE DE 2020,AMEACA
Nao informado,Nao informado,SEG,ABRIL,2022,2022-04-25,AMEACA,Nao informado,OUTRAS,SEM INSTRUMENTO,MARACACUERA,RESIDENCIA PARTICULAR,ADULTO IV (35 A 64 ANOS),F,PREJUDICADO,ENSINO MEDIO INCOMPLETO,NAO INFORMADO,"<P>A DECLARANTE REGISTRA QUE NO DIA 25/04/22 POR VOLTA DE 10H20 FOI AMEACADA PELO EX COMPANHEIRO JHON MICHAEL FERNANDES JORGE, 39 ANOS, RG-7560199-PC/PA; CPF-700.012.212-99, MOTO TAXI,FUNDAMENTAL INCOMPLETO, ENDERECO DE SUA GENITORA NA RUA PERPETUO SOCORRO, 78, ENTRE SAO JOSE E FERNANDO BAHIA, BENGUI, NAO POSSUEM FILHOS. DECLARA QUE EM MEIO A UMA DISCUSSAO LHE FALOU”ISSO NAO VAI FICAR ASSIM” EU TE AJUDEI EM TUDO PRA NO FINAL EU SAIR SO COM AS ROUPAS”. DECLARA QUE NAO REPRESENTA CRIMINALMENTE. NAO ACEITA CASA ABRIGO. QUE, SOLICITA MEDIDAS PROTETIVAS EM DESFAVOR DO EX COMPANHEIRO: III - PROIBICAO DE DETERMINADAS CONDUTAS, ENTRE AS QUAIS: A) PROIBICAO DE APROXIMACAO DA OFENDIDA, FIXANDO O LIMITE MINIMO DE DISTANCIA ENTRE ESTES E O AGRESSOR; B) PROIBICAO DE CONTATO COM A OFENDIDA, SEUS POR QUALQUER MEIO DE COMUNICACAO; C) PROIBICAO DE FREQUENTAR DETERMINADOS LUGARES RESIDENCIA DA DECLARANTE ESTRADA DA MARACACUERA, RUA 12, BLOCO 11, AP-304-MARACACUERA A FIM DE PRESERVAR A INTEGRIDADE FISICA E PSICOLOGICA DA OFENDIDA.</P><P><BR></P>",Nao informado,MANHA,1 SEMESTRE DE 2022,AMEACA
MARAMBAIA - 5ª SECCIONAL - 1ª RISP - 9ª AISP,CABANAGEM - DELEGACIA DE POLICIA - 1ª RISP - 10ª AISP,SAB,DEZEMBRO,2020,2020-12-26,AMEACA,Nao informado,CIÚME,SEM INSTRUMENTO,UNA,RESIDENCIA PARTICULAR,ADULTO I (18 A 24 ANOS),F,PREJUDICADO,ENSINO FUNDAMENTAL INCOMPLETO,NAO INFORMADO,"<p>A Relatora, a Sra. GLENDA NASCIMENTO DA SILVA SOARES, compareceu a esta Seccional e comunicou que, na data, hora e local citados, foi vítima do crime de “Ameaça” (crime de violência doméstica); Conduta praticada por um ex companheiro, o nacional LUCAS TORRES SANTANA, residente na Av. Tavares Bastos, Conjunto Basa (Não sabe informar endereço completo), Bairro Souza; Ressalta que o casal conviveu em união estável por um ano e que se separou na data de antes de ontem, 25/12/2020; Que, no dia de ontem, 26/12/2020, após a Relatora contar a mãe de LUCAS que, em uma ocasião anterior, ele havia lhe ameaçado, LUCAS surtou e começou a mandar mensagens para a relatora, via aplicativo whatsapp; Que, nestas mensagens, ele diz que vai matar a declarante, com textuais como “eu vou te matar sua vagabunda”; Que, por volta de UMA hora atrás, a depoente recebeu uma ligação de um irmão dele, um nacional de nome, MATEUS TORRES SANTANA, que&nbsp; a orientou a procurar a delegacia, pois “Lucas tinha saído de casa prometendo ir atrás da declarante”; Que, nesta mesma noite,&nbsp;LUCAS lhe telefonou e disse que iria matar a depoente”; Que esta não é a primeira vez que LUCAS age com violência para com a vítima; Que, em uma ocasião anterior, ele já agrediu fisicamente a depoente, mas&nbsp; a mesma optou por não denunciá-lo na ocasião; Registra-se para fins de direitos e providências cabíveis/////////////.&nbsp;</p><p><br></p>",Nao informado,NOITE,2 SEMESTRE DE 2020,AMEACA
